experiment,frame,time,time_abs,holding_space,box_center,box_top,box_bottom,fish_y,progress
free_fall,0,5.700043402612209e-06,1001561.4536599,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.618840579710145,0.0
free_fall,1,0.016830700100399554,1001561.4704849,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.6159420289855072,0.0
free_fall,2,0.03387420007493347,1001561.4875284,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.6130434782608696,0.0
free_fall,3,0.05065350001677871,1001561.5043077,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.6101449275362318,0.0
free_fall,4,0.0678124000551179,1001561.5214666,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.6072463768115942,0.0
free_fall,5,0.08489430008921772,1001561.5385485,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.6043478260869565,0.0
free_fall,6,0.1019235000712797,1001561.5555777,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.6014492753623188,0.0
free_fall,7,0.11911480000708252,1001561.572769,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5971014492753624,0.0
free_fall,8,0.1361501000355929,1001561.5898043,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5942028985507246,0.0
free_fall,9,0.15333670005202293,1001561.6069909,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5898550724637681,0.0
free_fall,10,0.17014030006248504,1001561.6237945,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5869565217391305,0.0
free_fall,11,0.18849640002008528,1001561.6421506,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5840579710144927,0.0
free_fall,12,0.20563189999666065,1001561.6592861,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5811594202898551,0.0
free_fall,13,0.2227982000913471,1001561.6764524,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5782608695652174,0.0
free_fall,14,0.23973300005309284,1001561.6933872,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5753623188405798,0.0
free_fall,15,0.256725599989295,1001561.7103798,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.572463768115942,0.0
free_fall,16,0.27378130005672574,1001561.7274355,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5695652173913044,0.0
free_fall,17,0.2908371000085026,1001561.7444913,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5666666666666667,0.0
free_fall,18,0.3076655000913888,1001561.7613197,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5623188405797102,0.0
free_fall,19,0.32467790006194264,1001561.7783321,0,0.972463768115942,0.9478260869565217,0.9971014492753624,0.5594202898550724,0.0
