phase,time,fish_y,box_center,space_held,progress
fall,1.00000761449337e-06,0.49130434782608695,0.972463768115942,0,0.0
fall,0.26196610007900745,0.5376811594202898,0.972463768115942,0,0.0
fall,0.2729740000795573,0.5376811594202898,0.972463768115942,0,0.0
fall,0.2838735000696033,0.5405797101449276,0.972463768115942,0,0.0
fall,0.3008317000931129,0.5434782608695652,0.972463768115942,0,0.0
fall,0.31741160003002733,0.5463768115942029,0.972463768115942,0,0.0
fall,0.33419880003202707,0.5492753623188406,0.972463768115942,0,0.0
fall,0.3508990000700578,0.5521739130434783,0.972463768115942,0,0.0
fall,0.36736340005882084,0.5550724637681159,0.972463768115942,0,0.0
fall,0.3841880999971181,0.5579710144927537,0.972463768115942,0,0.0
fall,0.4006686999928206,0.5608695652173913,0.972463768115942,0,0.0
fall,0.4175436000805348,0.5652173913043478,0.972463768115942,0,0.0
fall,0.4341522000031546,0.5681159420289855,0.972463768115942,0,0.0
fall,0.45052070007659495,0.5710144927536231,0.972463768115942,0,0.0
fall,0.46735869999974966,0.572463768115942,0.972463768115942,0,0.0
fall,0.48390350001864135,0.5753623188405798,0.972463768115942,0,0.0
fall,0.5006805000593886,0.5782608695652174,0.972463768115942,0,0.0
fall,0.5175223000114784,0.5826086956521739,0.972463768115942,0,0.0
fall,0.5341446000384167,0.5855072463768116,0.972463768115942,0,0.0
fall,0.5505267000989988,0.5884057971014492,0.972463768115942,0,0.0
fall,0.5672037000767887,0.591304347826087,0.972463768115942,0,0.0
fall,0.5839233000297099,0.5956521739130435,0.972463768115942,0,0.0
fall,0.6019326000241563,0.5985507246376811,0.972463768115942,0,0.0
fall,0.6171492000576109,0.6014492753623188,0.972463768115942,0,0.0
fall,0.6336641000816599,0.6043478260869565,0.972463768115942,0,0.0
fall,0.6506456000497565,0.6072463768115942,0.972463768115942,0,0.0
fall,0.6669753000605851,0.6101449275362318,0.972463768115942,0,0.0
fall,0.6839682999998331,0.6130434782608696,0.972463768115942,0,0.0
fall,0.7007676000939682,0.6159420289855072,0.972463768115942,0,0.0
fall,0.7173750000074506,0.618840579710145,0.972463768115942,0,0.0
fall,0.7341731000924483,0.6217391304347826,0.972463768115942,0,0.0
fall,0.7512456000549719,0.6246376811594203,0.972463768115942,0,0.0
fall,0.7676617000252008,0.6275362318840579,0.972463768115942,0,0.0
fall,0.7841520000947639,0.6304347826086957,0.972463768115942,0,0.0
fall,0.8007516000652686,0.6333333333333333,0.972463768115942,0,0.0
fall,0.8173443000996485,0.636231884057971,0.972463768115942,0,0.0
fall,0.8342951000668108,0.6405797101449275,0.972463768115942,0,0.0
fall,0.850679500028491,0.6434782608695652,0.972463768115942,0,0.0
fall,0.8675501000834629,0.6463768115942029,0.972463768115942,0,0.0
fall,0.8837919000070542,0.6492753623188405,0.972463768115942,0,0.0
fall,0.9006686999928206,0.6521739130434783,0.972463768115942,0,0.0
fall,0.9172186000505462,0.6536231884057971,0.972463768115942,0,0.0
fall,0.9339352000970393,0.6579710144927536,0.972463768115942,0,0.0
fall,0.9504453000845388,0.6608695652173913,0.972463768115942,0,0.0
fall,0.967229500063695,0.663768115942029,0.972463768115942,0,0.0
fall,0.9839302999898791,0.6666666666666666,0.972463768115942,0,0.0
fall,1.0009157001040876,0.6695652173913044,0.972463768115942,0,0.0
fall,1.0175537000177428,0.672463768115942,0.972463768115942,0,0.0
fall,1.0343455000547692,0.6768115942028986,0.972463768115942,0,0.0
fall,1.0507202000590041,0.6797101449275362,0.972463768115942,0,0.0
fall,1.0672261000145227,0.6826086956521739,0.972463768115942,0,0.0
fall,1.0840955000603572,0.6855072463768116,0.972463768115942,0,0.0
fall,1.100719900103286,0.6884057971014492,0.972463768115942,0,0.0
fall,1.1175534999929368,0.691304347826087,0.972463768115942,0,0.0
fall,1.1342599000781775,0.6942028985507246,0.972463768115942,0,0.0
fall,1.1506747000385076,0.6971014492753623,0.972463768115942,0,0.0
fall,1.1673782001016662,0.7,0.972463768115942,0,0.0
fall,1.1843060000101104,0.7028985507246377,0.972463768115942,0,0.0
fall,1.200545800034888,0.7072463768115942,0.972463768115942,0,0.0
fall,1.2172258000355214,0.7101449275362319,0.972463768115942,0,0.0
fall,1.234244400053285,0.7130434782608696,0.972463768115942,0,0.0
fall,1.2504135000053793,0.717391304347826,0.972463768115942,0,0.0
fall,1.2552208000561222,0.717391304347826,0.972463768115942,0,0.0
fall,1.2691963000688702,0.7202898550724638,0.972463768115942,0,0.0
fall,1.2865977000910789,0.7231884057971014,0.972463768115942,0,0.0
fall,1.290076700039208,0.7231884057971014,0.972463768115942,0,0.0
fall,1.2997140000807121,0.7260869565217392,0.972463768115942,0,0.0
fall,1.3179907000157982,0.7289855072463768,0.972463768115942,0,0.0
fall,1.3359792000846937,0.7318840579710145,0.972463768115942,0,0.0
fall,1.3510437000077218,0.7347826086956522,0.972463768115942,0,0.0
fall,1.355150300078094,0.7347826086956522,0.972463768115942,0,0.0
fall,1.367297500022687,0.7376811594202899,0.972463768115942,0,0.0
fall,1.3858574000187218,0.744927536231884,0.972463768115942,0,0.0
fall,1.39619010000024,0.744927536231884,0.972463768115942,0,0.0
fall,1.4097348999930546,0.7478260869565218,0.972463768115942,0,0.0
fall,1.4250947000691667,0.7507246376811594,0.972463768115942,0,0.0
fall,1.4424394000088796,0.755072463768116,0.972463768115942,0,0.0
fall,1.4615766000933945,0.7579710144927536,0.972463768115942,0,0.0
fall,1.466369100031443,0.7608695652173914,0.972463768115942,0,0.0
fall,1.480021100025624,0.7608695652173914,0.972463768115942,0,0.0
fall,1.4949095000047237,0.763768115942029,0.972463768115942,0,0.0
fall,1.5094474999932572,0.7652173913043478,0.972463768115942,0,0.0
fall,1.5137564000906423,0.7652173913043478,0.972463768115942,0,0.0
fall,1.5268575000809506,0.7681159420289855,0.972463768115942,0,0.0
fall,1.5448946000542492,0.7695652173913043,0.972463768115942,0,0.0
fall,1.548908400000073,0.7695652173913043,0.972463768115942,0,0.0
fall,1.5587556000100449,0.7681159420289855,0.972463768115942,0,0.0
fall,1.5760130000999197,0.7652173913043478,0.972463768115942,0,0.0
fall,1.5954564000712708,0.7608695652173914,0.972463768115942,0,0.0
fall,1.6086217000847682,0.7579710144927536,0.972463768115942,0,0.0
fall,1.6262886000331491,0.755072463768116,0.972463768115942,0,0.0
fall,1.647576800081879,0.7521739130434782,0.972463768115942,0,0.0
fall,1.659339200006798,0.7492753623188406,0.972463768115942,0,0.0
fall,1.6694658000487834,0.7492753623188406,0.972463768115942,0,0.0
fall,1.6848377001006156,0.7463768115942029,0.972463768115942,0,0.0
fall,1.7014751000097021,0.7434782608695653,0.972463768115942,0,0.0
fall,1.7181806000880897,0.7405797101449275,0.972463768115942,0,0.0
fall,1.7289556000614539,0.7376811594202899,0.972463768115942,0,0.0
fall,1.7419393000891432,0.7333333333333333,0.972463768115942,0,0.0
fall,1.7454353000503033,0.7333333333333333,0.972463768115942,0,0.0
fall,1.7585249000694603,0.7304347826086957,0.972463768115942,0,0.0
fall,1.7754802000708878,0.7275362318840579,0.972463768115942,0,0.0
fall,1.7928903000429273,0.7260869565217392,0.972463768115942,0,0.0
fall,1.80945210007485,0.7231884057971014,0.972463768115942,0,0.0
fall,1.8256693000439554,0.7188405797101449,0.972463768115942,0,0.0
fall,1.8427419000072405,0.7159420289855073,0.972463768115942,0,0.0
fall,1.859505300060846,0.7130434782608696,0.972463768115942,0,0.0
fall,1.8757359000155702,0.7086956521739131,0.972463768115942,0,0.0
